epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2150.06,1.17341,0.83059,1.1133,0.81294,0.6055,0.65233,0.44221,0.91535,0.62629,0.91052,0.0006411,0.0006411,0.0006411
44,2187.56,1.16565,0.81984,1.11194,0.75445,0.59621,0.62505,0.42042,0.94799,0.65622,0.92974,0.000638055,0.000638055,0.000638055
45,2229.43,1.17222,0.82098,1.10762,0.80121,0.62468,0.6616,0.45291,0.90568,0.61089,0.90611,0.000635009,0.000635009,0.000635009
46,2278.46,1.14233,0.80106,1.09924,0.80803,0.60101,0.65279,0.44843,0.91044,0.61054,0.90395,0.000631964,0.000631964,0.000631964
47,2326.98,1.13399,0.79433,1.09383,0.80317,0.60135,0.65267,0.44596,0.91229,0.61397,0.90871,0.000628919,0.000628919,0.000628919
48,2369.28,1.1466,0.80074,1.09541,0.80125,0.55143,0.60612,0.39994,0.95502,0.68622,0.92828,0.000625874,0.000625874,0.000625874
49,2407.14,1.14482,0.79425,1.0915,0.72458,0.62067,0.67424,0.47298,0.86002,0.57892,0.88178,0.000622828,0.000622828,0.000622828
50,2452.7,1.13917,0.79059,1.09114,0.70081,0.62477,0.66603,0.45575,0.89466,0.61312,0.89281,0.000619783,0.000619783,0.000619783
51,2498.89,1.13101,0.77946,1.08044,0.6795,0.6146,0.66337,0.45335,0.89906,0.58756,0.89079,0.000616738,0.000616738,0.000616738
52,2533.9,1.12534,0.77576,1.08079,0.82103,0.63153,0.68644,0.47654,0.89564,0.58886,0.89311,0.000613693,0.000613693,0.000613693
53,2579.44,1.12017,0.76693,1.07859,0.76641,0.68171,0.70319,0.46809,0.919,0.60878,0.90105,0.000610648,0.000610648,0.000610648
54,2621.35,1.11286,0.76366,1.07952,0.84677,0.6199,0.71147,0.49066,0.87093,0.57984,0.8784,0.000607602,0.000607602,0.000607602
55,2672.95,1.11504,0.77065,1.07807,0.83388,0.66761,0.71329,0.48673,0.87029,0.57188,0.87838,0.000604557,0.000604557,0.000604557
56,2724.57,1.10075,0.7559,1.07064,0.75355,0.66255,0.69985,0.46823,0.86949,0.58941,0.87825,0.000601512,0.000601512,0.000601512
57,2753.06,1.08569,0.74233,1.06276,0.70511,0.69407,0.70698,0.47442,0.88075,0.58146,0.88074,0.000598467,0.000598467,0.000598467
58,2803.66,1.09247,0.74382,1.06489,0.79131,0.66961,0.72976,0.50298,0.84692,0.56016,0.86447,0.000595421,0.000595421,0.000595421
59,2858.77,1.07587,0.73613,1.06206,0.80929,0.64145,0.69407,0.4762,0.8908,0.5912,0.88744,0.000592376,0.000592376,0.000592376
60,2909.87,1.09458,0.74416,1.068,0.81122,0.64157,0.71294,0.49299,0.85698,0.55511,0.8695,0.000589331,0.000589331,0.000589331
61,2944.64,1.0733,0.72423,1.05133,0.81077,0.659,0.71232,0.49207,0.8526,0.56495,0.86392,0.000586286,0.000586286,0.000586286
62,2989.47,1.07666,0.7276,1.05062,0.83611,0.6506,0.7177,0.49674,0.83216,0.5498,0.85891,0.00058324,0.00058324,0.00058324
63,3035.53,1.07583,0.72436,1.05495,0.73389,0.7247,0.74208,0.51616,0.82612,0.53622,0.85306,0.000580195,0.000580195,0.000580195
64,3085.46,1.08162,0.72586,1.0548,0.82644,0.69077,0.74598,0.51732,0.82513,0.54282,0.85331,0.00057715,0.00057715,0.00057715
65,3116.89,1.06609,0.71523,1.04885,0.86396,0.7091,0.76283,0.52252,0.82452,0.54143,0.85266,0.000574105,0.000574105,0.000574105
66,3159.26,1.05542,0.70686,1.04494,0.81088,0.67649,0.72621,0.51237,0.81779,0.53175,0.84787,0.000571059,0.000571059,0.000571059
67,3206.94,1.0551,0.70767,1.04565,0.73322,0.74642,0.74433,0.52122,0.82951,0.54353,0.85733,0.000568014,0.000568014,0.000568014
68,3251.3,1.0532,0.7035,1.03847,0.83271,0.67599,0.75013,0.5192,0.83008,0.53419,0.85485,0.000564969,0.000564969,0.000564969
69,3298.12,1.06052,0.70948,1.04355,0.84833,0.67347,0.7442,0.52338,0.81428,0.52408,0.84778,0.000561924,0.000561924,0.000561924
70,3328.38,1.04644,0.70132,1.04123,0.7074,0.6791,0.71057,0.49909,0.8205,0.53263,0.84962,0.000558878,0.000558878,0.000558878
71,3382.14,1.05206,0.70426,1.04054,0.8181,0.69534,0.776,0.52732,0.81752,0.52561,0.84902,0.000555833,0.000555833,0.000555833
72,3430.59,1.04605,0.69582,1.03681,0.83455,0.71708,0.76213,0.52472,0.81233,0.5261,0.84364,0.000552788,0.000552788,0.000552788
73,3480.01,1.04954,0.69839,1.03924,0.83401,0.68998,0.77518,0.5335,0.80336,0.51432,0.84252,0.000549743,0.000549743,0.000549743
74,3512.61,1.03008,0.68508,1.03055,0.84408,0.69957,0.75347,0.53553,0.80064,0.51552,0.84232,0.000546697,0.000546697,0.000546697
75,3561.88,1.02973,0.67912,1.03021,0.85453,0.68062,0.7691,0.53289,0.81484,0.51881,0.84503,0.000543652,0.000543652,0.000543652
76,3608.34,1.03287,0.68164,1.03025,0.7536,0.73536,0.76353,0.53147,0.80652,0.52012,0.84166,0.000540607,0.000540607,0.000540607
77,3662.61,1.03971,0.68614,1.03099,0.76606,0.6955,0.72372,0.51141,0.81852,0.52287,0.84861,0.000537562,0.000537562,0.000537562
78,3691.12,1.03402,0.67975,1.03096,0.8424,0.70496,0.75627,0.53112,0.79459,0.50054,0.83487,0.000534517,0.000534517,0.000534517
79,3741.76,1.03012,0.67701,1.02803,0.74821,0.65938,0.72114,0.49791,0.8334,0.53084,0.84997,0.000531471,0.000531471,0.000531471
80,3792.55,1.0256,0.67552,1.02764,0.7818,0.70767,0.75468,0.5329,0.80254,0.50376,0.83965,0.000528426,0.000528426,0.000528426
81,3843.1,1.02913,0.6767,1.02664,0.83115,0.69956,0.75502,0.51785,0.80578,0.51644,0.83836,0.000525381,0.000525381,0.000525381
82,3874.94,1.01682,0.66809,1.02346,0.83152,0.71766,0.75613,0.53321,0.79722,0.50248,0.83485,0.000522336,0.000522336,0.000522336
83,3925.68,1.01382,0.66365,1.01951,0.84686,0.69444,0.74299,0.50953,0.81282,0.51983,0.84165,0.00051929,0.00051929,0.00051929
